id_rank,CREDIT_FLAG,AGE,adr_stability_days,consume_steady_byxs_1y,last_1y_total_active_biz_cnt,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,relevant_stability,sns_pii,use_mobile_2_cnt_1y,activity_area_stability,positive_biz_cnt_1y
5502,1,30,1,10,5,5,5,5,6,8,6,4,9,5,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,7,1,1,1
7328,1,44,4,10,6,9,8,9,9,6,4,4,7,7,7,6,7,8,2,2,2,1,1,1,2,2,3,6,6,4,2,2,1
7397,1,30,8,7,9,9,9,8,9,5,5,7,9,9,10,6,5,5,2,2,2,1,4,3,3,6,4,4,5,4,1,6,2
7581,1,27,9,4,8,10,9,9,11,2,3,3,5,5,5,3,4,5,1,1,1,1,2,2,2,3,3,3,3,3,1,3,1
8923,1,28,2,5,3,6,5,6,6,3,3,4,5,6,7,3,3,3,1,2,2,1,2,2,2,2,2,2,2,5,1,4,2
9357,1,30,8,3,7,6,6,6,7,2,2,2,3,3,3,5,5,7,1,1,2,4,4,4,4,10,10,6,2,5,1,4,2
20475,0,31,4,8,6,2,1,1,5,2,3,2,4,5,2,6,6,6,2,3,4,3,3,3,4,9,9,5,3,6,3,4,1
10716,1,33,10,6,10,8,8,8,9,7,8,9,10,10,12,8,5,6,1,1,1,10,9,9,9,10,10,10,6,8,2,5,2
10955,1,25,3,8,9,3,4,4,3,6,5,6,3,4,6,8,4,4,1,1,1,1,1,2,2,2,2,10,4,5,2,4,1
11613,1,28,3,9,8,12,12,11,10,2,3,2,3,4,1,2,3,2,1,2,2,1,1,1,1,1,1,1,5,4,1,3,1
12445,1,29,9,4,10,7,6,8,7,7,7,9,7,9,9,8,4,4,1,1,2,4,3,4,4,9,8,5,5,8,1,4,2
14910,1,28,2,5,8,8,7,7,7,7,6,8,7,7,7,6,7,6,1,1,1,1,2,2,2,5,6,1,7,6,2,7,1
16611,1,25,4,4,7,7,8,8,7,7,7,4,3,2,2,8,4,4,1,1,1,4,3,3,3,7,5,3,3,9,2,6,1
18645,1,25,6,6,7,5,5,3,5,4,3,4,8,4,6,6,5,5,1,1,2,1,1,1,1,1,1,1,5,4,2,3,2
1039,1,34,10,10,4,4,3,2,4,7,8,5,10,11,8,4,4,7,1,1,1,1,1,1,1,1,1,8,3,3,2,4,1
21637,0,28,1,1,5,8,8,8,1,2,2,3,2,3,6,2,5,3,1,1,1,9,5,4,3,2,2,2,2,2,1,1,1
2392,1,28,9,10,7,8,3,2,9,6,7,9,3,3,4,3,2,3,1,1,1,3,2,3,3,7,9,10,4,8,2,3,1
21957,0,35,7,2,10,8,7,2,8,10,10,7,9,7,2,9,9,10,2,4,4,1,3,7,7,9,10,10,8,9,2,2,1
22073,0,33,2,8,4,4,2,2,4,8,5,3,4,3,2,5,6,5,4,4,5,1,1,1,1,1,1,2,9,3,1,2,2
2543,1,25,3,3,6,5,4,4,4,7,7,8,6,7,9,9,5,5,2,3,3,4,3,3,3,7,7,4,8,6,1,5,1
22582,0,21,2,9,6,2,3,4,3,6,8,9,3,4,3,2,5,4,2,3,3,1,1,1,1,1,1,1,6,3,2,2,1
3457,1,22,4,9,6,6,6,6,6,3,3,4,3,3,6,2,8,6,1,1,3,1,1,1,1,1,1,1,3,7,2,4,1
3775,1,30,1,6,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,2,2,1,1,1
4005,1,26,2,5,8,8,8,7,8,12,14,14,6,6,5,9,7,9,1,3,4,9,9,9,7,10,9,6,7,9,3,4,2
